Time Spent;Initial Length;Final Length;Length Difference;Shrinking Percentage - Total;Initial SUT Interactions;Final SUT Interactions;SUT Interactions Difference;Shrinking Percentage - Inputs
1.0088450759999998;118.0;4.0;114.0;96.61016949152543;59.0;2.0;57.0;96.61016949152543
1.010007154;40.0;4.0;36.0;90.0;20.0;2.0;18.0;90.0
1.012883329;26.0;4.0;22.0;84.61538461538461;13.0;2.0;11.0;84.61538461538461
1.015022233;38.0;4.0;34.0;89.47368421052632;19.0;2.0;17.0;89.47368421052632
1.013135484;50.0;4.0;46.0;92.0;25.0;2.0;23.0;92.0
1.022066094;44.0;4.0;40.0;90.9090909090909;22.0;2.0;20.0;90.9090909090909
1.008096741;4.0;4.0;0.0;0.0;2.0;2.0;0.0;0.0
1.013704592;58.0;4.0;54.0;93.10344827586206;29.0;2.0;27.0;93.10344827586206
1.029724382;94.0;4.0;90.0;95.74468085106383;47.0;2.0;45.0;95.74468085106383
1.029501864;140.0;4.0;136.0;97.14285714285714;70.0;2.0;68.0;97.14285714285714
3.2759057059999996;147.0;9.0;138.0;93.87755102040816;73.0;4.0;69.0;94.52054794520548
2.231466528;21.0;9.0;12.0;57.14285714285714;10.0;4.0;6.0;60.0
2.139798974;51.0;9.0;42.0;82.35294117647058;25.0;4.0;21.0;84.0
2.707011886;33.0;9.0;24.0;72.72727272727273;16.0;4.0;12.0;75.0
6.898012089;373.0;9.0;364.0;97.58713136729223;186.0;4.0;182.0;97.84946236559139
4.762895981;29.0;9.0;20.0;68.96551724137932;14.0;4.0;10.0;71.42857142857143
5.1336408769999995;57.0;9.0;48.0;84.21052631578947;28.0;4.0;24.0;85.71428571428571
1.670348417;193.0;9.0;184.0;95.33678756476684;96.0;4.0;92.0;95.83333333333334
1.651600089;41.0;9.0;32.0;78.04878048780488;20.0;4.0;16.0;80.0
2.086143131;27.0;9.0;18.0;66.66666666666666;13.0;4.0;9.0;69.23076923076923
